1001,Verna,Tassell,676116922773455293,5893791781888006
1002,Gregoire,O'Mannion,6387098471586564,491143523377949482
1003,Cristina,Trewhitt,3553393970892687,5007660009428486
1004,Tracee,Cunniffe,3538724289979908,5602252256474584
1005,Caddric,Pillans,6390040091556648,3571409645685989
1006,Petey,Barthelmes,6374759415064142,6767979823667030
1007,Georgi,Dyet,3587789766773769,3584139122092251
1008,Melissa,Lamp,3568115180674214,3547000927189021
1009,Xenos,Lambersen,3540160837396905,30593431539137
1010,Bertram,Godleman,201632410619305,3554688832297770
1011,Wynne,Haversum,3557295476705931,3554216238730523
1012,Augusta,Prier,3568955878614836,3560730051976106
1013,Kathe,Banat,30024362054995,564182485546094028
1014,Artie,Andrei,201979224316515,3546090660983053
1015,Ruprecht,Burgise,30021397901539,3573547370166135
1016,Lorine,Barmby,5100144554343297,5018814335994458
1017,Rutledge,Sikorsky,5100174182225699,3584998525557420
1018,Roderic,Blew,201531095091147,3538898514415100
1019,Nerta,Mitie,201850860353197,060451238428070001
1020,Jaquelin,Crush,3535092091265707,3548658187114309
1021,Annetta,Rosander,5602244140229323652,30146545539004
1022,Linc,Senussi,4905962601946972,5602226222216832
1023,Abba,Williams,633372102377019908,630496877884034923
1024,Elysia,Oaten,30072526650679,3543017705571273
1025,Hilario,Kleinpeltz,3564679811864050,5568608636352588
1026,Gordy,Ferryn,4017953434613280,30066657168261
1027,Idell,Breukelman,5108752624401127,6759662165516227
1028,Thom,Skep,3548017548339677,4041598820230445
1029,Axel,Foran,201769908413369,5602221239769378
1030,Chaunce,Brecher,3537694612577763,676267848847344253
1031,Kassi,Bernhardt,3567346489130944,3571713843882078
1032,Florinda,Pinnion,3549694446090153,5100138814934556
1033,Cordell,Dods,5100132052293254,3553441536328058
1034,Barby,Wixon,67099190974882946,4645875500653082
1035,Reeta,Bergen,3539907530057330,3581325773018330
1036,Almeta,Michelet,201920061509242,3582367993703373
1037,Ferdinande,Tydd,3553578103337812,3570133131250832
1038,Gabrila,Dettmar,4508236702186403,6759517388522537
1039,Eloise,Darey,63045705160760574,370475714562309
1040,Gardiner,Darrell,3553499934749911,633411066584952222
1041,Brandie,Giottoi,3576732489577854,3547178882187154
1042,Cissy,Isacsson,201909491457650,3557408164395820
1043,Dosi,Rycroft,6759123158134754392,3538372818214114
1044,Kirstin,Goody,3573505278324065,5038885375873295704
1045,Brittan,Clews,6331102874665848,5641822890087585002
1046,Caren,Barrasse,675953259333705539,6763763371417098398
1047,Nero,Downey,5007669168203150,3534331330356559
1048,Dell,Simonnin,201764096623416,67623070988715834
1049,Mara,Oddey,3549504328428951,3555800387268275
1050,Seymour,Warricker,5038602424547295724,3538998273697011
1051,Ailbert,Beakes,3537302708979600,560225806110820372
1052,Davie,Deinhardt,5048376033423820,3549793784704662
1053,Esta,Lecky,6759129428692885597,3528985514995983
1054,Barris,Richie,201549227149070,201526727239536
1055,Rudd,Ricks,201693352429558,4913602258725879
1056,Shepherd,Etheridge,5482672332256447,341356742370400
1057,Carree,Woffenden,3551741455974226,490321927109715986
1058,Sauncho,Mankor,4175002347059658,5007669571735285
1059,Tedi,Mocker,63043664363790593,374288629453563
1060,Jocko,Shepard,3555896913231357,201807379569648
1061,Dennie,Preble,5602258194742677,337941467958046
1062,Brenn,Belasco,5641822880114854158,374288213608143
1063,Tami,Boagey,5132771836975629,5513905282859205
